Player,Team,POS,Draft Year,GP,TM TAR,TM PA ATT,TM OPP,TM Snaps,TM Air YDs,Snaps,Snap %,Snaps/GP,Slot Rate,OPP Share,Weight OPP,Weight OPP/GP,Pass Comp,Comp/GP,Pass ATT,PA/GP,Pass Yards,PY/GP,Pass TDs,TDs/GP,Pass INT,INT/GP,Comp %,Clean Pocket %,Deep Ball Comp %,TD Rate,Pass Yards/TD,TD:INT,Yards/ ATT,AY/A,Attempted Air Yards,ATT Air Yards/GP,Completed Air Yards,Comp Air Yards/GP,aDOT,QB Rating,Total QBR,CPOE,Rush ATT,Rush ATT/GP,Rush Yards,Rush YDs/GP,Rush TDs,Rush TDs/ GP,TD Rate,Rush YDs/TD,YPC,Evaded Tackles,ET/GP,Big Runs,Juke Rate,GL ATT,FUM,REC,REC/GP,Targets,Targets/GP,Target Share,RZ Targets,Catch Rate,Routes,Routes/GP,Yards/ Route,REC Yards,REC YDs/GP,Yards/REC,Yards/ Target,Air Yards/ Target,REC TDs,REC TDs/GP,TD Rate,REC YDs/TD,YDs/TM Pass ATT,Air Yards,Air Yards/GP,Air Yards MS,WOPR,RACR,YAC,YAC/GP,Touches,Touches/GP,Scrim Yards,Scrim Yards/GP,Scrim TDs,Scrim TDs/GP,SCRIM YDs/ Play,Fantasy Points,Exp Points,FPOE,PPR PPG,PPG Rank,FP/ Touch,PPR Rank
Cam Newton,NE,QB,2011,7,196,203,213,460,"1,360",440,95.7%,62.9,-,-,-,-,130,18.6,195,27.9,1417,202.4,2,0.3,7,1.0,66.7%,73.4%,60.0%,1.0%,708.5,0.3,7.3,5.9,1325,189.3,1325,189.3,6.8,77.9,-,-1.1,69,9.9,314,44.9,8,1.14,11.6%,-,-,-,-,-,-,-,1,1,0.1,1,0.1,0.5%,-,100%,-,-,-,16,2.3,16.0,16.0,4.0,0,0.000,0.0%,-,0.08,4,0.6,0.3%,0.01,4.00,12,-,-,-,-,-,-,-,-,130.7,157.3,-8.5,18.7,16,-,21
Cameron Batson,TEN,WR,2018,4,119,123,134,267,"1,076",112,41.9%,28.0,6.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.3,11,2.8,0,0.00,0.0%,-,11.0,-,-,-,-,-,0,4,1.0,4,1.0,3.4%,0,100%,52,13.0,0.9,45,11.3,11.3,11.3,9.5,0,0.000,0.0%,-,0.37,38,9.5,3.5%,0.08,1.18,3,0.8,5,1.3,56,14.0,0,0.00,0.21,9.6,7.3,2.3,2.4,130,1.9,134
Carlos Hyde,SEA,RB,2014,4,146,153,117,285,"1,194",93,32.6%,23.3,-,32.5%,29.1,7.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,31,7.8,125,31.3,2,0.50,6.5%,62.5,4.0,7,1.8,1,18.9%,1,0,6,1.5,7,1.8,4.8%,0,86%,44,11.0,0.8,34,8.5,5.7,4.9,-0.7,0,0.000,0.0%,-,0.22,-5,-1.3,-0.4%,0.07,-6.80,47,11.8,37,9.3,159,39.8,2,0.50,0.56,33.9,27.6,6.3,8.5,45,0.9,68
Carson Wentz,PHI,QB,2016,8,295,307,195,567,"2,790",567,100.0%,70.9,-,-,-,-,178,22.3,305,38.1,1883,235.4,12,1.5,12,1.5,58.4%,70.0%,31.7%,3.9%,156.9,1.0,6.2,5.2,2858,357.3,2858,357.3,9.4,73.2,49.9,2.1,39,4.9,202,25.3,5,0.63,12.8%,-,-,-,-,-,-,-,4,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,141.5,178.5,-0.1,17.7,21,-,17
Cedrick Wilson,DAL,WR,2018,9,378,390,282,680,"2,953",139,20.4%,15.4,-,-,-,-,1,0.1,1,0.1,11,1.2,1,0.1,0,0.0,-,-,-,100.0%,-,-,11.0,31.0,10,1.1,10,1.1,-,-,-,-,2,0.2,-11,-1.2,0,0.00,0.0%,-,-5.5,-,-,-,-,-,0,15,1.7,25,2.8,6.6%,-,60%,-,-,-,179,19.9,11.9,7.2,9.3,2,0.222,13.3%,89.5,0.46,232,25.8,7.9%,0.15,0.77,111,12.3,17,1.9,168,18.7,2,0.22,0.25,48.2,0.0,0.0,5.4,104,2.8,88
CeeDee Lamb,DAL,WR,2020,9,378,390,282,680,"2,953",440,64.7%,48.9,85.8%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,5,0.6,33,3.7,0,0.00,0.0%,-,6.6,-,-,-,-,-,1,44,4.9,66,7.3,17.5%,5,67%,282,31.3,2.1,595,66.1,13.5,9.0,10.5,3,0.333,6.8%,198.3,1.53,694,77.1,23.5%,0.43,0.86,167,18.6,49,5.4,628,69.8,3,0.33,0.92,122.8,112.6,12.2,13.6,32,2.5,18
Chase Claypool,PIT,WR,2020,8,290,292,236,550,"1,957",355,64.5%,44.4,11.5%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,7,0.9,25,3.1,2,0.25,28.6%,12.5,3.6,-,-,-,-,-,1,31,3.9,47,5.9,16.2%,3,66%,156,19.5,2.8,444,55.5,14.3,9.4,11.6,5,0.625,16.1%,88.8,1.52,546,68.3,27.9%,0.44,0.81,153,19.1,38,4.8,469,58.6,7,0.88,0.85,117.9,89.0,30.9,14.7,22,3.1,20
Chase Edmonds,ARI,RB,2018,8,261,279,222,571,"2,176",271,47.5%,33.9,-,40.1%,87.0,10.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,54,6.8,246,30.8,1,0.13,1.9%,246.0,4.6,9,1.1,3,10.8%,1,0,29,3.6,35,4.4,13.4%,6,83%,117,14.6,2.1,240,30.0,8.3,6.9,2.4,2,0.250,6.9%,120.0,0.86,84,10.5,3.9%,0.23,2.86,183,22.9,83,10.4,486,60.8,3,0.38,0.85,95.6,80.7,14.9,12.0,28,1.2,22
Chris Carson,SEA,RB,2017,6,209,219,164,402,"2,014",193,48.0%,32.2,-,55.5%,78.0,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,66,11.0,323,53.8,3,0.50,4.5%,107.7,4.9,20,3.3,3,22.7%,4,0,22,3.7,25,4.2,12.0%,6,88%,94,15.7,1.6,147,24.5,6.7,5.9,1.2,3,0.500,13.6%,49.0,0.67,29,4.8,1.4%,0.19,5.07,135,22.5,88,14.7,470,78.3,6,1.00,1.17,105.0,83.9,21.1,17.5,7,1.2,16
Chris Conley,JAC,WR,2015,8,291,305,208,530,"2,371",228,43.0%,28.5,18.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,22,2.8,34,4.3,11.7%,4,65%,130,16.3,2.1,276,34.5,12.5,8.1,11.6,1,0.125,4.5%,276.0,0.90,396,49.5,16.7%,0.29,0.70,83,10.4,22,2.8,276,34.5,1,0.13,0.52,55.6,55.5,0.1,7.0,92,2.5,79
Chris Godwin,TB,WR,2017,5,175,185,141,325,"1,611",267,82.2%,53.4,58.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,28,5.6,35,7.0,20.0%,5,80%,136,27.2,2.4,320,64.0,11.4,9.1,8.3,2,0.400,7.1%,160.0,1.73,292,58.4,18.1%,0.43,1.10,110,22.0,28,5.6,320,64.0,2,0.40,0.98,72.0,61.7,10.3,14.4,23,2.6,61
Chris Herndon,NYJ,TE,2018,9,278,295,230,562,"2,364",369,65.7%,41.0,16.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,2,14,1.6,25,2.8,9.0%,1,56%,143,15.9,0.7,101,11.2,7.2,4.0,5.4,0,0.000,0.0%,-,0.34,134,14.9,5.7%,0.17,0.75,72,8.0,14,1.6,101,11.2,0,0.00,0.18,20.1,40.7,-16.6,2.2,50,1.4,47
Chris Hogan,NYJ,WR,2011,5,165,173,130,331,"1,348",274,82.8%,54.8,18.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,14,2.8,26,5.2,15.8%,4,54%,162,32.4,0.7,118,23.6,8.4,4.5,9.8,0,0.000,0.0%,-,0.68,255,51.0,18.9%,0.37,0.46,36,7.2,14,2.8,118,23.6,0,0.00,0.36,25.8,43.7,-17.9,5.2,107,1.8,115
Chris Thompson,JAC,RB,2013,6,231,238,157,399,"1,830",158,39.6%,26.3,-,19.1%,40.6,6.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,7,1.2,20,3.3,0,0.00,0.0%,-,2.9,4,0.7,0,14.8%,0,0,20,3.3,23,3.8,10.0%,4,87%,98,16.3,1.5,146,24.3,7.3,6.3,2.8,1,0.167,5.0%,146.0,0.61,64,10.7,3.5%,0.17,2.28,86,14.3,27,4.5,166,27.7,1,0.17,0.42,42.6,41.0,1.6,7.1,59,1.6,56
Christian Kirk,ARI,WR,2018,7,228,244,197,506,"1,844",350,69.2%,50.0,12.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,3,0.4,0,0.00,0.0%,-,3.0,-,-,-,-,-,0,23,3.3,40,5.7,17.5%,6,58%,200,28.6,2.0,400,57.1,17.4,10.0,13.7,6,0.857,26.1%,66.7,1.64,546,78.0,29.6%,0.47,0.73,88,12.6,24,3.4,403,57.6,6,0.86,0.80,99.3,67.9,31.4,14.2,27,4.1,31
Christian McCaffrey,CAR,RB,2017,3,118,126,105,223,850,171,76.7%,57.0,-,74.3%,64.4,21.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,59,19.7,224,74.7,5,1.67,8.5%,44.8,3.8,22,7.3,0,28.9%,2,0,17,5.7,19,6.3,16.1%,0,89%,54,18.0,2.8,149,49.7,8.8,7.8,1.4,1,0.333,5.9%,149.0,1.18,27,9.0,3.2%,0.26,5.52,63,21.0,76,25.3,373,124.3,6,2.00,1.67,90.3,70.2,19.8,30.1,1,1.2,26
CJ Beathard,SF,QB,2017,2,78,80,60,137,575,56,40.9%,28.0,-,-,-,-,23,11.5,37,18.5,232,116.0,1,0.5,0,0.0,62.2%,-,-,2.7%,232.0,-,6.3,6.8,280,140.0,280,140.0,7.6,89.0,-,0.6,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,11.3,19.2,-3.6,5.6,43,-,45
CJ Board,NYG,WR,2017,7,222,235,180,446,"1,602",140,31.4%,20.0,8.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,3,0.4,0,0.00,0.00%,-,3.0,-,-,-,-,-,0,8,1.1,12,1.7,5.4%,0,67%,63,9.0,1.2,76,10.9,9.5,6.3,11.6,0,0.000,0.0%,-,0.32,139,19.9,8.7%,0.14,0.55,17,2.4,9,1.3,79,11.3,0,0.00,0.18,15.9,19.7,-3.8,2.3,131,1.8,125
CJ Uzomah,CIN,TE,2015,2,94,97,55,160,777,96,60.0%,48.0,12.1%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,8,4.0,11,5.5,11.7%,2,73%,64,32.0,1.4,87,43.5,10.9,7.9,8.5,1,0.500,12.5%,87.0,0.90,94,47.0,12.1%,0.26,0.93,30,15.0,8,4.0,87,43.5,1,0.50,0.54,22.7,21.2,1.5,11.4,5,2.8,44
Clyde Edwards-Helaire,KC,RB,2020,9,330,336,256,601,"2,262",364,60.6%,40.4,-,66.0%,141.5,15.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,126,14.0,586,65.1,2,0.22,1.6%,293.0,4.7,31,3.4,7,20.1%,7,0,28,3.1,43,4.8,13.0%,5,65%,163,18.1,1.4,224,24.9,8.0,5.2,-0.1,1,0.111,3.6%,224.0,0.67,-3,-0.3,-0.1%,0.19,-74.67,201,22.3,154,17.1,810,90.0,3,0.33,1.35,127.0,142.4,-15.4,14.1,19,0.8,9
Cole Beasley,BUF,WR,2012,9,311,320,211,596,"2,607",373,62.6%,41.4,84.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,44,4.9,54,6.0,17.4%,7,81%,218,24.2,2.4,533,59.2,12.1,9.9,7.6,2,0.222,4.5%,266.5,1.67,410,45.6,15.7%,0.37,1.30,190,21.1,44,4.9,533,59.2,2,0.22,0.89,109.3,92.7,16.6,12.1,41,2.5,26
Cole Kmet,CHI,TE,2020,9,359,371,227,613,"3,160",213,34.7%,23.7,8.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,6,0.7,8,0.9,2.2%,2,75%,50,5.6,1.6,79,8.8,13.2,9.9,10.5,1,0.111,16.7%,79.0,0.21,84,9.3,2.7%,0.05,0.94,15,1.7,6,0.7,79,8.8,1,0.11,0.13,19.9,16.6,3.3,2.2,51,3.3,48
Collin Johnson,JAC,WR,2020,8,291,305,208,530,"2,371",109,20.6%,13.6,28.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,7,0.9,13,1.6,4.5%,4,54%,69,8.6,1.0,69,8.6,9.9,5.3,8.4,1,0.125,14.3%,69.0,0.23,109,13.6,4.6%,0.10,0.63,10,1.3,7,0.9,69,8.6,1,0.13,0.13,19.9,24.6,-4.7,2.5,129,2.8,121
Cooper Kupp,LAR,WR,2017,8,272,284,264,563,"2,025",497,88.3%,62.1,53.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,4,0.5,33,4.1,0,0.00,0.0%,-,8.3,-,-,-,-,-,1,48,6.0,72,9.0,26.5%,5,67%,273,34.1,1.9,522,65.3,10.9,7.3,7.1,2,0.250,4.2%,261.0,1.84,514,64.3,25.4%,0.57,1.02,305,38.1,52,6.5,555,69.4,2,0.25,0.99,113.5,113.5,2.0,14.2,26,2.2,23
Cordarrelle Patterson,CHI,WR,2013,9,359,371,227,613,"3,160",113,18.4%,12.6,-,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,29,3.2,88,9.8,0,0.00,0.0%,-,3.0,0,0.0,0,0.0%,0,0,17,1.9,19,2.1,5.3%,1,89%,0,0.0,-,105,11.7,6.2,5.5,3.2,0,0.000,0.0%,-,0.28,60,6.7,1.9%,0.09,1.75,75,8.3,46,5.1,193,21.4,0,0.00,0.31,36.3,47.4,-11.1,4.0,117,0.8,101
Corey Clement,PHI,RB,2017,8,295,307,195,567,"2,790",86,15.2%,10.8,-,11.8%,18.4,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,18,2.3,63,7.9,0,0.00,0.0%,-,3.5,2,0.3,0,9.1%,0,0,4,0.5,5,0.6,1.7%,0,80%,39,4.9,0.5,18,2.3,4.5,3.6,-1.4,0,0.000,0.0%,-,0.06,-7,-0.9,-0.3%,0.02,-2.57,22,2.8,22,2.8,81,10.1,0,0.00,0.14,12.1,14.3,-2.2,1.5,98,0.6,93
Corey Davis,TEN,WR,2017,6,177,186,187,392,"1,544",315,80.4%,52.5,10.3%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,29,4.8,42,7.0,23.7%,4,69%,151,25.2,2.4,369,61.5,12.7,8.8,10.3,3,0.500,10.3%,123.0,1.98,434,72.3,28.1%,0.55,0.85,101,16.8,29,4.8,369,61.5,3,0.50,0.94,83.9,68.4,15.5,14.0,29,2.9,42
Courtland Sutton,DEN,WR,2018,1,38,38,27,77,515,31,40.3%,31.0,6.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,3,3.0,6,6.0,15.8%,0,50%,15,15.0,4.4,66,66.0,22.0,11.0,17.7,0,0.000,0.0%,-,1.74,106,106.0,20.6%,0.38,0.62,7,7.0,3,3.0,66,66.0,0,0.00,0.86,9.6,9.0,0.6,9.6,58,3.2,133
Curtis Samuel,CAR,WR,2017,8,270,283,239,516,"1,877",341,66.1%,42.6,54.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,22,2.8,104,13.0,2,0.25,9.1%,52.0,4.7,-,-,-,-,-,0,38,4.8,43,5.4,15.9%,2,88%,178,22.3,2.0,360,45.0,9.5,8.4,6.7,2,0.250,5.3%,180.0,1.27,289,36.1,15.4%,0.35,1.25,100,12.5,60,7.5,464,58.0,4,0.50,0.90,108.4,90.2,18.2,13.6,33,1.8,27
D'Andre Swift,DET,RB,2020,8,279,291,246,540,"2,422",208,38.5%,26.0,-,35.8%,85.4,10.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,54,6.8,250,31.3,4,0.50,7.4%,62.5,4.6,5,0.6,2,6.3%,4,0,26,3.3,34,4.3,12.2%,5,76%,102,12.8,2.0,207,25.9,8.0,6.1,2.7,1,0.125,3.8%,207.0,0.71,92,11.5,3.8%,0.21,2.25,137,17.1,80,10.0,457,57.1,5,0.63,0.85,101.7,92.6,9.1,12.7,23,1.3,18
D'Ernest Johnson,CLE,RB,2018,8,222,236,250,500,"1,862",70,14.0%,8.8,-,12.8%,21.6,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,29,3.6,142,17.8,0,0.00,0.0%,-,4.9,7,0.9,2,22.6%,0,0,2,0.3,3,0.4,1.4%,0,67%,26,3.3,0.3,9,1.1,4.5,3.0,0.0,0,0.000,0.0%,-,0.04,0,0.0,0.0%,0.02,-,7,0.9,31,3.9,151,18.9,0,0.00,0.30,17.1,18.7,-1.6,2.1,95,0.6,84
DaeSean Hamilton,DEN,WR,2018,8,281,294,218,548,"2,787",303,55.3%,37.9,15.6%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,11,1.4,21,2.6,7.5%,2,52%,151,18.9,1.0,152,19.0,13.8,7.2,12.4,1,0.125,9.1%,152.0,0.52,260,32.5,9.3%,0.18,0.58,70,8.8,11,1.4,152,19.0,1,0.13,0.28,32.2,33.0,-0.8,4.0,118,2.9,105
Dak Prescott,DAL,QB,2016,5,230,236,151,384,"1,833",360,93.8%,72.0,-,-,-,-,151,30.2,222,44.4,1856,371.2,9,1.8,4,0.8,68.0%,75.4%,55.6%,4.1%,206.2,2.3,8.4,8.4,1735,347.0,1735,347.0,7.8,99.6,76.3,0.4,18,3.6,93,18.6,3,0.60,16.7%,-,-,-,-,-,-,-,3,1,0.2,1,0.2,0.4%,-,100%,-,-,-,11,2.2,11.0,11.0,10.0,1,0.200,100.0%,-,0.05,10,2.0,0.5%,0.01,1.10,1,-,-,-,-,-,-,-,-,131.6,135.3,24.9,26.3,3,-,20
Dallas Goedert,PHI,TE,2018,4,153,160,113,293,"1,455",176,60.1%,44.0,27.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,14,3.5,19,4.8,12.4%,2,74%,91,22.8,1.7,153,38.3,10.9,8.1,7.1,1,0.250,7.1%,153.0,0.96,135,33.8,9.3%,0.25,1.13,70,17.5,14,3.5,153,38.3,1,0.25,0.52,35.3,30.1,5.2,8.8,18,2.5,33
Dalton Schultz,DAL,TE,2018,9,378,390,282,680,"2,953",544,80.0%,60.4,37.9%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,35,3.9,55,6.1,14.6%,5,64%,260,28.9,1.5,383,42.6,10.9,7.0,6.9,2,0.222,5.7%,191.5,0.98,379,42.1,12.8%,0.31,1.01,173,19.2,35,3.9,383,42.6,2,0.22,0.56,83.3,89.0,-3.7,9.3,15,2.4,10
Dalvin Cook,MIN,RB,2017,7,167,173,240,434,"1,607",290,66.8%,41.4,-,68.8%,116.9,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,144,20.6,858,122.6,12,1.71,8.3%,71.5,6.0,51,7.3,6,31.9%,7,1,16,2.3,21,3.0,12.6%,0,76%,93,13.3,1.9,173,24.7,10.8,8.2,-2.5,1,0.143,6.3%,173.0,1.00,-53,-7.6,-3.3%,0.17,-3.26,165,23.6,160,22.9,1031,147.3,13,1.86,2.38,195.1,130.0,73.1,27.9,2,1.2,2
Damien Harris,NE,RB,2019,5,141,149,158,330,"1,075",104,31.5%,20.8,-,41.1%,39.7,7.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,63,12.6,350,70.0,1,0.20,1.6%,350.0,5.6,12,2.4,3,18.5%,1,0,2,0.4,2,0.4,1.4%,0,100%,14,2.8,1.9,26,5.2,13.0,13.0,0.0,0,0.000,0.0%,-,0.17,0,0.0,0.0%,0.02,-,26,5.2,65,13.0,376,75.2,1,0.20,1.14,45.6,35.1,10.5,9.1,42,0.7,54
Damiere Byrd,NE,WR,2016,8,231,240,254,535,"1,656",505,94.4%,63.1,8.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,26,3.3,41,5.1,17.7%,0,63%,219,27.4,1.5,337,42.1,13.0,8.2,12.2,0,0.000,0.0%,-,1.40,501,62.6,30.3%,0.48,0.67,55,6.9,26,3.3,337,42.1,0,0.00,0.63,59.7,62.7,-3.0,7.5,84,2.3,73
Dan Arnold,ARI,TE,2017,8,261,279,222,571,"2,176",255,44.7%,31.9,24.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,0,12,1.5,16,2.0,6.1%,1,75%,123,15.4,1.4,170,21.3,14.2,10.6,12.1,0,0.000,0.0%,-,0.61,193,24.1,8.9%,0.15,0.88,68,8.5,12,1.5,170,21.3,0,0.00,0.30,29.0,24.6,4.4,3.6,42,2.4,40
Daniel Jones,NYG,QB,2019,9,292,307,230,580,"2,106",580,100.0%,64.4,-,-,-,-,191,21.2,306,34.0,1870,207.8,8,0.9,9,1.0,62.4%,78.3%,44.4%,2.6%,233.8,0.9,6.1,5.3,2010,223.3,2010,223.3,6.6,75.8,61.8,-2.1,40,4.4,320,35.6,0,0.00,0.0%,-,-,-,-,-,-,-,4,0,0.0,0,0.0,0.0%,-,-,-,-,-,0,0.0,-,-,-,0,0.000,-,-,0.00,0,0.0,0.0%,0.00,-,0,-,-,-,-,-,-,-,-,112.8,171.3,-29.6,12.5,33,-,26
Danny Amendola,DET,WR,2008,8,279,291,246,540,"2,422",289,53.5%,36.1,83.0%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,1,0.1,2,0.3,0,0.00,0.0%,-,2.0,-,-,-,-,-,0,25,3.1,41,5.1,14.7%,1,61%,162,20.3,2.5,401,50.1,16.0,9.8,8.6,0,0.000,0.0%,-,1.38,352,44.0,14.5%,0.32,1.14,141,17.6,26,3.3,403,50.4,0,0.00,0.75,65.3,64.2,1.1,8.2,81,2.5,68
Dante Pettis,NYG,WR,2018,4,142,146,129,266,904,66,24.8%,16.5,1.7%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,0,0.0,0,0.0,0,0.00,-,-,-,-,-,-,-,-,1,0,0.0,1,0.3,0.7%,0,0%,34,8.5,0.0,0,0.0,-,0.0,34.0,0,0.000,-,-,0.00,34,8.5,3.8%,0.04,0.00,0,0.0,0,0.0,0,0.0,0,0.00,0.00,-2.0,1.8,-1.8,-0.5,140,-,140
Darius Slayton,NYG,WR,2019,9,292,307,230,580,"2,106",525,90.5%,58.3,13.4%,-,-,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-,-,-,-,-,-,-,-,0,0.0,0,0.0,-,-,-,-,2,0.2,-1,-0.1,0,0.00,0.0%,-,-0.5,-,-,-,-,-,1,33,3.7,58,6.4,19.9%,8,57%,277,30.8,1.8,491,54.6,14.9,8.5,12.9,3,0.333,9.1%,163.7,1.60,746,82.9,35.4%,0.55,0.66,99,11.0,35,3.9,490,54.4,3,0.33,0.84,98.0,96.9,3.1,10.9,47,2.8,32
